Area_ID,Area_Name,Latitude,Longitude,POI_ID,POI_Type,POI_Name,Road_Name,Nearby_Road,Distance_From_City_Center,Area_Type
AR01,Area_A,23.316513,77.335376,POI-AR01-001,Hospital,River Hospital 1,River Lane 4,River Road 6,10.62,Residential
AR01,Area_A,23.307243,77.328667,POI-AR01-002,School,Union School 2,River Avenue 20,River Lane 4,10.47,Residential
AR01,Area_A,23.326905,77.335727,POI-AR01-003,Hospital,New Hospital 3,Silver Lane 19,Golden Lane 25,11.43,Residential
AR01,Area_A,23.316907,77.344568,POI-AR01-004,Residential Area,New Residential Area 4,River Road 6,Silver Lane 19,10.0,Residential
AR01,Area_A,23.308042,77.34487,POI-AR01-005,Intersection,North Intersection 5,Golden Lane 25,River Avenue 20,9.27,Residential
AR01,Area_A,23.324807,77.344465,POI-AR01-006,Park,Lake Park 6,Silver Lane 19,River Avenue 20,10.68,Residential
AR01,Area_A,23.319203,77.323127,POI-AR01-007,Hospital,Old Hospital 7,River Lane 4,River Avenue 20,11.75,Residential
AR01,Area_A,23.310028,77.343998,POI-AR01-008,Intersection,Lake Intersection 8,Palm Lane 4,Central Road 18,9.49,Residential
AR01,Area_A,23.316437,77.347375,POI-AR01-009,Metro Station,Central Metro Station 9,Golden Lane 25,Central Road 18,9.77,Residential
AR01,Area_A,23.3105,77.33661,POI-AR01-010,Bus Stop,East Bus Stop 10,Silver Lane 19,Golden Lane 25,10.07,Residential
AR01,Area_A,23.322377,77.334059,POI-AR01-011,Hospital,West Hospital 11,Silver Lane 19,River Lane 4,11.18,Residential
AR01,Area_A,23.314705,77.342327,POI-AR01-012,Residential Area,New Residential Area 12,Palm Lane 4,River Avenue 20,9.98,Residential
AR01,Area_A,23.309765,77.341793,POI-AR01-013,Residential Area,River Residential Area 13,Golden Lane 25,River Avenue 20,9.63,Residential
AR01,Area_A,23.328351,77.343569,POI-AR01-014,Park,Silver Park 14,River Avenue 20,Central Road 18,11.04,Residential
AR01,Area_A,23.310734,77.336102,POI-AR01-015,Bus Stop,River Bus Stop 15,Silver Lane 19,Central Road 18,10.13,Residential
AR01,Area_A,23.317778,77.325292,POI-AR01-016,Residential Area,Green Residential Area 16,Silver Lane 19,Central Road 18,11.47,Residential
