User_ID,Latitude,Longitude,Date,Time,Movement_Duration,Distance,Speed,Area_ID,Area_Name,Transport_Mode,Activity_Type,Weather,Day,Hour,Weekday,Weekend_Weekday
P4899,23.194234,77.48253,2026-01-13,10:06,23.98,28.72,70.47,AR09,Area_I,,Commute,,Tuesday,10,1,Weekday
P4899,23.180811,77.481379,2025-11-27,11:45,10.42,0.3,1.82,AR09,Area_I,Walking,Unknown,Clear,Thursday,11,3,Weekday
P4899,23.239142,77.407965,2026-01-31,17:41,9.16,3.89,24.51,AR05,Area_E,Bus,Commute,,Saturday,17,5,Weekend
P4899,23.279499,77.426705,2026-02-11,17:21,12.14,0.84,5.17,AR05,Area_E,,Shopping,Cloudy,Wednesday,17,2,Weekday
P4899,23.258997,77.414698,2026-02-04,07:11,21.41,1.65,4.91,AR05,Area_E,Walking,Shopping,Rain,Wednesday,7,2,Weekday
P4899,23.171666,77.460596,2026-01-30,17:17,13.19,10.47,47.91,AR09,Area_I,Car,Social,Clear,Friday,17,4,Weekday
P4899,23.177068,77.478035,2026-01-05,18:27,27.92,6.76,14.32,AR09,Area_I,Bicycle,Unknown,,Monday,18,0,Weekday
P4899,23.262792,77.414617,2026-01-31,08:14,,10.31,42.59,AR05,Area_E,Car,Shopping,,Saturday,8,5,Weekend
P4899,23.188107,77.486724,2025-12-03,16:56,13.59,2.63,13.4,AR09,Area_I,Bicycle,Social,Clear,Wednesday,16,2,Weekday
P4899,23.270714,77.387013,2026-01-18,20:33,14.21,0.51,2.75,AR05,Area_E,Walking,,,Sunday,20,6,Weekend
P4899,23.232451,77.419358,2025-12-10,00:31,7.94,0.45,4.84,AR05,Area_E,Walking,Social,Clear,Wednesday,0,2,Weekday
P4899,23.230028,77.509927,2026-01-24,07:07,35.8,4.43,7.82,AR06,Area_F,,Medical,Clear,Saturday,7,5,Weekend
P4899,23.247986,77.353153,2025-12-23,07:55,13.42,1.64,7.46,AR04,Area_D,Walking,,Clear,Tuesday,7,1,Weekday
P4899,23.197171,77.496422,2025-11-19,12:40,51.47,3.6,5.96,AR09,Area_I,Walking,Social,Cloudy,Wednesday,12,2,Weekday
P4899,23.170599,77.516714,2026-01-12,15:03,50.06,48.89,55.66,AR09,Area_I,Car,Leisure,Clear,Monday,15,0,Weekday
P4899,23.251404,77.383086,2026-01-28,06:19,,1.1,6.7,AR05,Area_E,Walking,Shopping,Clear,Wednesday,6,2,Weekday
P4899,23.326138,77.4117,2026-01-04,21:47,25.76,15.45,51.07,AR02,Area_B,Car,Shopping,Rain,Sunday,21,6,Weekend
