repeat,model,top1_accuracy,top3_accuracy,top5_accuracy,macro_f1,weighted_f1
42,Logistic Regression,0.375,0.719,0.876,0.3875,0.3708
42,Random Forest,0.35,0.672,0.863,0.3603,0.3337
42,Gradient Boosting,0.348,0.707,0.874,0.3664,0.3437
42,XGBoost,0.331,0.66,0.855,0.3508,0.3268
7,Logistic Regression,0.401,0.698,0.875,0.4165,0.397
7,Random Forest,0.366,0.68,0.855,0.3752,0.3548
7,Gradient Boosting,0.363,0.682,0.863,0.3678,0.3582
7,XGBoost,0.336,0.653,0.851,0.3512,0.3307
21,Logistic Regression,0.33,0.703,0.869,0.3486,0.3256
21,Random Forest,0.345,0.654,0.851,0.3474,0.3324
21,Gradient Boosting,0.335,0.664,0.849,0.3505,0.3294
21,XGBoost,0.32,0.661,0.847,0.3392,0.3155
99,Logistic Regression,0.368,0.701,0.86,0.3841,0.3644
99,Random Forest,0.339,0.667,0.839,0.3327,0.3244
99,Gradient Boosting,0.325,0.679,0.854,0.3416,0.3198
99,XGBoost,0.327,0.664,0.844,0.3386,0.3228
123,Logistic Regression,0.357,0.704,0.875,0.3689,0.3546
123,Random Forest,0.359,0.667,0.85,0.3607,0.3486
123,Gradient Boosting,0.349,0.681,0.859,0.3563,0.3443
123,XGBoost,0.33,0.656,0.853,0.3455,0.3271
